claim_id,shipment_id,claim_amount,claim_reason,claim_status
CL01240,S058949,7686,Late Delivery,Open
CL01241,S071341,14493,Damage,Closed
CL01242,S031138,3651,Customs Issue,Under Review
CL01243,S094502,3770,Lost Container,Under Review
CL01244,S091043,9051,Customs Issue,Under Review
CL01245,S031249,13851,Late Delivery,Under Review
CL01246,S067358,10782,Customs Issue,Closed
CL01247,S020642,3005,Damage,Open
CL01248,S050661,3071,Lost Container,Open
CL01249,S090748,12836,Damage,Closed
CL01250,S037381,1299,Late Delivery,Closed
CL01251,S097746,3077,Late Delivery,Open
CL01252,S013389,4986,Lost Container,Under Review
CL01253,S072781,8658,Customs Issue,Under Review
CL01254,S039895,8656,Damage,Under Review
CL01255,S091760,14013,Lost Container,Under Review
CL01256,S060511,12417,Customs Issue,Under Review
CL01257,S023300,14335,Lost Container,Open
CL01258,S011677,9719,Late Delivery,Closed
CL01259,S085238,7418,Lost Container,Under Review
CL01260,S043272,4875,Customs Issue,Under Review
CL01261,S098203,4974,Lost Container,Under Review
CL01262,S009835,3076,Lost Container,Closed
CL01263,S035018,14624,Late Delivery,Under Review
CL01264,S024865,10501,Lost Container,Under Review
CL01265,S054717,9040,Customs Issue,Open
CL01266,S079207,3243,Customs Issue,Under Review
CL01267,S056124,9212,Lost Container,Under Review
CL01268,S049754,700,Damage,Closed
CL01269,S004865,6618,Lost Container,Closed
CL01270,S003068,14986,Late Delivery,Under Review
CL01271,S086757,1652,Lost Container,Closed
CL01272,S007240,8541,Damage,Open
CL01273,S034593,13663,Lost Container,Open
CL01274,S012941,13279,Late Delivery,Under Review
CL01275,S056363,14123,Lost Container,Open
CL01276,S007966,3356,Damage,Under Review
CL01277,S046957,10550,Customs Issue,Closed
CL01278,S091532,14241,Lost Container,Open
CL01279,S022966,8047,Lost Container,Open
CL01280,S059960,2813,Late Delivery,Open
CL01281,S001533,3436,Damage,Open
CL01282,S014727,2892,Late Delivery,Open
CL01283,S095511,8582,Lost Container,Open
CL01284,S081521,7187,Customs Issue,Open
CL01285,S032035,730,Customs Issue,Closed
CL01286,S046106,12801,Damage,Open
CL01287,S099329,14592,Damage,Under Review
CL01288,S072344,7544,Customs Issue,Open
CL01289,S012593,5643,Customs Issue,Open
CL01290,S072373,1472,Customs Issue,Under Review
CL01291,S009079,5408,Late Delivery,Open
CL01292,S054886,14068,Late Delivery,Closed
CL01293,S046376,6471,Damage,Open
CL01294,S086680,14603,Lost Container,Closed
CL01295,S003546,8398,Customs Issue,Under Review
CL01296,S009023,903,Lost Container,Open
CL01297,S081302,4619,Damage,Under Review
CL01298,S055253,1781,Customs Issue,Closed
CL01299,S075948,11312,Damage,Open
CL01300,S044851,3167,Customs Issue,Closed
CL01301,S046227,4529,Late Delivery,Closed
CL01302,S012418,12235,Lost Container,Closed
CL01303,S072389,1480,Late Delivery,Open
CL01304,S077568,10889,Lost Container,Closed
CL01305,S079947,906,Lost Container,Closed
CL01306,S076807,2734,Lost Container,Open
CL01307,S073367,5293,Lost Container,Closed
CL01308,S032836,13798,Damage,Under Review
CL01309,S019893,6896,Lost Container,Closed
CL01310,S050821,1866,Damage,Closed
CL01311,S099325,1293,Damage,Under Review
CL01312,S018580,12310,Customs Issue,Open
CL01313,S033928,2311,Lost Container,Open
CL01314,S019748,5029,Late Delivery,Open
CL01315,S013288,7155,Damage,Closed
CL01316,S054452,1802,Late Delivery,Open
CL01317,S020772,11230,Lost Container,Open
CL01318,S093481,7773,Lost Container,Under Review
CL01319,S041144,12815,Damage,Under Review
CL01320,S053310,7279,Late Delivery,Closed
CL01321,S033287,4251,Late Delivery,Open
CL01322,S047274,13887,Lost Container,Under Review
CL01323,S032688,7225,Damage,Under Review
CL01324,S013152,11292,Damage,Open
CL01325,S003275,8645,Customs Issue,Open
CL01326,S036840,9217,Late Delivery,Closed
CL01327,S044374,8123,Customs Issue,Open
CL01328,S087478,13433,Lost Container,Open
CL01329,S004411,1522,Lost Container,Open
CL01330,S082679,4091,Damage,Open
CL01331,S046477,3925,Late Delivery,Open
CL01332,S016385,14277,Customs Issue,Closed
CL01333,S077631,3823,Damage,Open
CL01334,S039829,8794,Damage,Open
CL01335,S033949,13955,Customs Issue,Open
CL01336,S009517,859,Customs Issue,Open
CL01337,S046552,3557,Customs Issue,Closed
CL01338,S004713,6383,Late Delivery,Open
CL01339,S068742,10494,Late Delivery,Open
CL01340,S099430,3668,Damage,Open
CL01341,S047518,9381,Lost Container,Closed
CL01342,S088180,4303,Lost Container,Closed
CL01343,S037163,819,Customs Issue,Open
CL01344,S055394,1533,Late Delivery,Open
CL01345,S038884,1255,Customs Issue,Open
CL01346,S087494,7567,Customs Issue,Closed
CL01347,S061595,9073,Lost Container,Under Review
CL01348,S059215,6291,Customs Issue,Open
CL01349,S073540,13302,Damage,Open
CL01350,S091119,3815,Late Delivery,Closed
CL01351,S045264,7106,Damage,Under Review
CL01352,S092097,3159,Damage,Under Review
CL01353,S038677,11660,Late Delivery,Under Review
CL01354,S071512,11453,Damage,Closed
CL01355,S093964,8892,Lost Container,Closed
CL01356,S078885,11359,Customs Issue,Open
CL01357,S067508,746,Lost Container,Open
CL01358,S001827,8586,Lost Container,Under Review
CL01359,S020209,3413,Late Delivery,Closed
CL01360,S033050,1678,Late Delivery,Closed
CL01361,S068388,9452,Lost Container,Under Review
CL01362,S001922,2316,Lost Container,Closed
CL01363,S066163,4923,Lost Container,Open
CL01364,S097889,5532,Customs Issue,Under Review
CL01365,S007421,7649,Customs Issue,Under Review
CL01366,S069771,11325,Customs Issue,Open
CL01367,S032005,6110,Customs Issue,Under Review
CL01368,S069285,3932,Late Delivery,Under Review
CL01369,S061485,12621,Late Delivery,Closed
CL01370,S058921,13033,Damage,Closed
CL01371,S059323,9643,Late Delivery,Closed
CL01372,S087286,943,Late Delivery,Closed
CL01373,S074914,8473,Late Delivery,Under Review
CL01374,S078630,5426,Damage,Under Review
CL01375,S043515,2162,Customs Issue,Under Review
CL01376,S029215,3433,Damage,Under Review
CL01377,S080641,2606,Lost Container,Under Review
CL01378,S053959,11872,Late Delivery,Closed
CL01379,S071907,14574,Lost Container,Open
CL01380,S096528,6758,Lost Container,Open
CL01381,S034413,14505,Damage,Closed
CL01382,S087101,9241,Damage,Open
CL01383,S015584,7511,Lost Container,Under Review
CL01384,S075360,6598,Customs Issue,Under Review
CL01385,S051303,4925,Damage,Under Review
CL01386,S052199,10960,Damage,Under Review
CL01387,S034378,6919,Lost Container,Closed
CL01388,S064776,3734,Lost Container,Under Review
CL01389,S011409,2318,Customs Issue,Closed
CL01390,S025684,5034,Damage,Under Review
CL01391,S056529,3393,Late Delivery,Under Review
CL01392,S032800,9702,Late Delivery,Open
CL01393,S045658,9956,Damage,Closed
CL01394,S042613,7331,Lost Container,Open
CL01395,S040337,8438,Damage,Open
CL01396,S099518,5888,Customs Issue,Under Review
CL01397,S040819,1747,Late Delivery,Open
CL01398,S052310,2172,Late Delivery,Closed
CL01399,S056265,7955,Damage,Under Review
CL01400,S081106,13228,Late Delivery,Under Review
CL01401,S007282,7841,Customs Issue,Under Review
CL01402,S026369,7240,Late Delivery,Closed
CL01403,S031452,4588,Damage,Closed
CL01404,S062999,14517,Customs Issue,Closed
CL01405,S062741,7947,Damage,Closed
CL01406,S034660,4597,Customs Issue,Closed
CL01407,S052467,6995,Damage,Under Review
CL01408,S045074,9233,Lost Container,Open
CL01409,S057309,9973,Late Delivery,Open
CL01410,S081648,8603,Lost Container,Under Review
CL01411,S042811,8265,Late Delivery,Under Review
CL01412,S087104,6523,Lost Container,Open
CL01413,S018018,872,Damage,Closed
CL01414,S049414,3984,Customs Issue,Under Review
CL01415,S021092,6479,Customs Issue,Under Review
CL01416,S047956,3618,Damage,Open
CL01417,S075745,14440,Customs Issue,Under Review
CL01418,S082799,767,Lost Container,Under Review
CL01419,S040436,894,Late Delivery,Under Review
CL01420,S038821,7741,Lost Container,Closed
CL01421,S008896,2538,Customs Issue,Open
CL01422,S000893,2325,Late Delivery,Under Review
CL01423,S023727,10913,Lost Container,Under Review
CL01424,S050359,4169,Customs Issue,Closed
CL01425,S040625,6968,Customs Issue,Under Review
CL01426,S026444,4652,Lost Container,Closed
CL01427,S037318,2482,Damage,Open
CL01428,S004978,4165,Customs Issue,Open
CL01429,S034098,1259,Lost Container,Closed
CL01430,S078648,4669,Lost Container,Under Review
CL01431,S060594,8049,Late Delivery,Under Review
CL01432,S041751,5973,Late Delivery,Closed
CL01433,S054440,10486,Customs Issue,Under Review
CL01434,S098340,9418,Customs Issue,Open
CL01435,S098860,9983,Late Delivery,Open
CL01436,S050616,9786,Customs Issue,Under Review
CL01437,S006717,3514,Lost Container,Under Review
CL01438,S082238,7604,Customs Issue,Under Review
CL01439,S015767,9591,Late Delivery,Closed
CL01440,S064308,11172,Customs Issue,Under Review
CL01441,S087088,11985,Lost Container,Open
CL01442,S029098,6303,Late Delivery,Open
CL01443,S015054,3053,Lost Container,Open
CL01444,S008760,12429,Customs Issue,Closed
CL01445,S093559,6130,Damage,Open
CL01446,S027618,12967,Lost Container,Closed
CL01447,S047218,13910,Customs Issue,Under Review
CL01448,S093993,12556,Late Delivery,Closed
CL01449,S063862,4707,Late Delivery,Open
CL01450,S072589,11946,Late Delivery,Closed
CL01451,S075668,9161,Late Delivery,Under Review
CL01452,S015841,7050,Customs Issue,Under Review
CL01453,S069396,4895,Late Delivery,Under Review
CL01454,S076629,1821,Lost Container,Open
CL01455,S044749,9248,Customs Issue,Closed
CL01456,S026614,6680,Damage,Open
CL01457,S006947,4843,Damage,Under Review
CL01458,S071880,12842,Lost Container,Under Review
CL01459,S016152,4758,Lost Container,Open
CL01460,S006170,11774,Late Delivery,Closed
CL01461,S022726,2593,Damage,Under Review
CL01462,S036788,13599,Customs Issue,Open
CL01463,S037429,9521,Lost Container,Closed
CL01464,S087630,8284,Late Delivery,Open
CL01465,S085567,13570,Customs Issue,Closed
CL01466,S096023,14063,Damage,Under Review
CL01467,S079836,2650,Lost Container,Open
CL01468,S043931,11450,Late Delivery,Open
CL01469,S055629,10066,Damage,Under Review
CL01470,S023156,5795,Customs Issue,Under Review
CL01471,S055515,9954,Damage,Under Review
CL01472,S009397,5209,Late Delivery,Open
CL01473,S016681,7565,Customs Issue,Closed
CL01474,S057878,1205,Customs Issue,Open
CL01475,S068436,1448,Customs Issue,Open
CL01476,S031270,9429,Lost Container,Open
CL01477,S073890,5271,Damage,Under Review
CL01478,S024947,8124,Late Delivery,Closed
CL01479,S000653,922,Late Delivery,Under Review
CL01480,S070338,6942,Damage,Under Review
CL01481,S031510,7477,Lost Container,Under Review
CL01482,S079076,8529,Lost Container,Under Review
CL01483,S086653,9302,Lost Container,Under Review
CL01484,S096779,1371,Lost Container,Closed
CL01485,S000020,1975,Damage,Under Review
CL01486,S018298,5407,Customs Issue,Under Review
CL01487,S011907,12234,Late Delivery,Under Review
CL01488,S037947,12939,Customs Issue,Closed
CL01489,S087563,9921,Damage,Open
CL01490,S094816,1808,Customs Issue,Under Review
CL01491,S083019,8547,Lost Container,Under Review
CL01492,S075737,1596,Damage,Closed
CL01493,S051096,2256,Damage,Closed
CL01494,S073522,8560,Lost Container,Under Review
CL01495,S046779,8449,Customs Issue,Closed
CL01496,S040689,14142,Late Delivery,Under Review
CL01497,S001009,11592,Damage,Closed
CL01498,S014195,5319,Late Delivery,Closed
CL01499,S095670,11794,Late Delivery,Closed
CL01500,S042258,891,Customs Issue,Open
CL01501,S048412,6663,Damage,Closed
CL01502,S009429,2297,Lost Container,Closed
CL01503,S098878,7622,Customs Issue,Under Review
CL01504,S054882,13982,Late Delivery,Closed
CL01505,S019739,11283,Customs Issue,Open
CL01506,S098098,14900,Damage,Closed
CL01507,S091254,2301,Late Delivery,Under Review
CL01508,S085431,13510,Customs Issue,Open
CL01509,S069338,4147,Late Delivery,Closed
CL01510,S008280,4602,Customs Issue,Open
CL01511,S023260,14899,Damage,Under Review
CL01512,S075010,950,Damage,Under Review
CL01513,S039673,1697,Late Delivery,Closed
CL01514,S019186,9628,Damage,Closed
CL01515,S056626,11097,Lost Container,Open
CL01516,S026973,1593,Damage,Closed
CL01517,S074791,10977,Customs Issue,Open
CL01518,S058828,9789,Customs Issue,Open
CL01519,S097657,3288,Lost Container,Open
CL01520,S018916,4776,Lost Container,Closed
CL01521,S045235,12545,Lost Container,Open
CL01522,S018763,6766,Customs Issue,Under Review
CL01523,S074690,7176,Damage,Under Review
CL01524,S022665,2421,Late Delivery,Closed
CL01525,S000316,3936,Customs Issue,Under Review
CL01526,S049647,8267,Late Delivery,Under Review
CL01527,S065451,4824,Lost Container,Under Review
CL01528,S042450,8257,Lost Container,Closed
CL01529,S019380,1154,Damage,Under Review
CL01530,S031599,4346,Late Delivery,Open
CL01531,S044777,14894,Damage,Under Review
CL01532,S049135,12785,Lost Container,Closed
CL01533,S055901,7102,Customs Issue,Open
CL01534,S080935,13311,Lost Container,Under Review
CL01535,S025309,3311,Customs Issue,Closed
CL01536,S099092,6341,Late Delivery,Under Review
CL01537,S038458,6837,Lost Container,Under Review
CL01538,S038754,8113,Damage,Closed
CL01539,S062164,5589,Customs Issue,Open
CL01540,S001634,3865,Late Delivery,Under Review
CL01541,S014233,4782,Customs Issue,Under Review
CL01542,S002462,13388,Damage,Closed
CL01543,S020255,1557,Customs Issue,Closed
CL01544,S022070,3358,Lost Container,Under Review
CL01545,S049265,2900,Damage,Closed
CL01546,S093564,2159,Lost Container,Open
CL01547,S033904,5748,Late Delivery,Closed
CL01548,S074428,14450,Late Delivery,Open
CL01549,S068547,5459,Damage,Closed
CL01550,S030297,13806,Damage,Under Review
CL01551,S073303,5542,Damage,Under Review
CL01552,S068473,14824,Damage,Open
CL01553,S001076,2440,Damage,Under Review
CL01554,S045142,5893,Damage,Open
CL01555,S076926,4683,Damage,Open
CL01556,S026596,14491,Customs Issue,Open
CL01557,S055576,7802,Late Delivery,Closed
CL01558,S057914,3138,Lost Container,Open
CL01559,S089296,820,Customs Issue,Closed
CL01560,S083733,3952,Customs Issue,Closed
CL01561,S068280,894,Customs Issue,Open
CL01562,S073788,8851,Late Delivery,Open
CL01563,S038233,9809,Lost Container,Open
CL01564,S043782,10478,Late Delivery,Under Review
CL01565,S015169,9090,Late Delivery,Closed
CL01566,S068186,9400,Lost Container,Under Review
CL01567,S066853,13700,Customs Issue,Closed
CL01568,S069101,6221,Lost Container,Under Review
CL01569,S091171,558,Lost Container,Closed
CL01570,S021349,12921,Late Delivery,Under Review
CL01571,S006974,6457,Customs Issue,Under Review
CL01572,S058313,3061,Lost Container,Under Review
CL01573,S020336,8581,Customs Issue,Open
CL01574,S005632,1721,Customs Issue,Under Review
CL01575,S073977,1138,Damage,Under Review
CL01576,S095786,5169,Damage,Closed
CL01577,S052271,9238,Late Delivery,Under Review
CL01578,S056154,7727,Lost Container,Closed
CL01579,S080202,12630,Late Delivery,Closed
CL01580,S072616,14242,Customs Issue,Under Review
CL01581,S010646,12708,Customs Issue,Open
CL01582,S063187,9133,Customs Issue,Under Review
CL01583,S056782,1255,Lost Container,Closed
CL01584,S007595,7785,Damage,Closed
CL01585,S013988,12744,Lost Container,Closed
CL01586,S073875,11084,Late Delivery,Open
CL01587,S081741,6036,Late Delivery,Under Review
CL01588,S003978,6368,Customs Issue,Under Review
CL01589,S020911,10827,Late Delivery,Closed
CL01590,S024151,11641,Lost Container,Open
CL01591,S019609,14519,Damage,Open
CL01592,S071150,14856,Customs Issue,Under Review
CL01593,S094025,7367,Lost Container,Closed
CL01594,S090784,857,Lost Container,Under Review
CL01595,S008253,5576,Damage,Open
CL01596,S045789,4428,Lost Container,Open
CL01597,S025895,11414,Customs Issue,Closed
CL01598,S009491,9307,Damage,Closed
CL01599,S075425,5053,Customs Issue,Open
CL01600,S087427,3481,Lost Container,Under Review
CL01601,S089640,14740,Customs Issue,Under Review
CL01602,S067931,2790,Damage,Closed
CL01603,S030238,10567,Lost Container,Open
CL01604,S073259,11379,Damage,Open
CL01605,S061588,7407,Damage,Under Review
CL01606,S031734,1743,Late Delivery,Under Review
CL01607,S018557,11577,Lost Container,Under Review
CL01608,S029847,509,Late Delivery,Open
CL01609,S072059,7061,Late Delivery,Closed
CL01610,S077194,8975,Customs Issue,Under Review
CL01611,S009121,13561,Damage,Under Review
CL01612,S003727,5067,Customs Issue,Closed
CL01613,S087442,9658,Late Delivery,Closed
CL01614,S038905,6176,Customs Issue,Closed
CL01615,S009568,3401,Late Delivery,Open
CL01616,S053700,1867,Customs Issue,Closed
CL01617,S027059,6546,Damage,Closed
CL01618,S087889,4460,Customs Issue,Closed
CL01619,S013846,13547,Customs Issue,Under Review
CL01620,S043607,2785,Lost Container,Under Review
CL01621,S054654,1731,Lost Container,Under Review
CL01622,S096261,10737,Customs Issue,Open
CL01623,S097037,10487,Late Delivery,Closed
CL01624,S077701,1231,Lost Container,Closed
CL01625,S017816,2501,Customs Issue,Under Review
CL01626,S060953,6757,Late Delivery,Closed
CL01627,S050483,12609,Damage,Closed
CL01628,S084254,2941,Late Delivery,Under Review
CL01629,S076827,10641,Lost Container,Open
CL01630,S015123,13082,Customs Issue,Under Review
CL01631,S016547,1497,Customs Issue,Closed
CL01632,S073057,14460,Damage,Closed
CL01633,S072139,7175,Damage,Open
CL01634,S043749,10972,Customs Issue,Closed
CL01635,S022754,2623,Late Delivery,Open
CL01636,S082200,7068,Late Delivery,Closed
CL01637,S030607,515,Lost Container,Closed
CL01638,S059655,9992,Damage,Open
CL01639,S014938,9070,Lost Container,Closed
CL01640,S088202,12121,Damage,Closed
CL01641,S046397,7721,Damage,Closed
CL01642,S051556,2143,Damage,Open
CL01643,S020165,3770,Late Delivery,Open
CL01644,S048042,2467,Late Delivery,Closed
CL01645,S012855,2298,Damage,Open
CL01646,S050302,6165,Lost Container,Closed
CL01647,S095264,3515,Late Delivery,Closed
CL01648,S054038,4644,Customs Issue,Under Review
CL01649,S008485,10330,Damage,Closed
CL01650,S044520,11375,Damage,Under Review
CL01651,S094091,10178,Late Delivery,Closed
CL01652,S041306,3113,Lost Container,Under Review
CL01653,S052625,13276,Damage,Under Review
CL01654,S043581,883,Customs Issue,Closed
CL01655,S082023,2069,Damage,Closed
CL01656,S024550,796,Customs Issue,Open
CL01657,S039428,12143,Lost Container,Under Review
CL01658,S033332,5017,Lost Container,Under Review
CL01659,S034083,11285,Lost Container,Under Review
CL01660,S012409,11140,Customs Issue,Open
CL01661,S077845,1861,Lost Container,Open
CL01662,S029676,5046,Customs Issue,Closed
CL01663,S065595,4848,Customs Issue,Closed
CL01664,S010307,9783,Lost Container,Under Review
CL01665,S099683,7295,Customs Issue,Open
CL01666,S022363,1649,Lost Container,Closed
CL01667,S093626,7857,Damage,Under Review
CL01668,S095741,8694,Lost Container,Closed
CL01669,S003898,12463,Damage,Open
CL01670,S012431,11419,Customs Issue,Under Review
CL01671,S049003,12891,Late Delivery,Under Review
CL01672,S086655,14050,Customs Issue,Open
CL01673,S099031,8383,Customs Issue,Open
CL01674,S009612,9986,Late Delivery,Closed
CL01675,S033706,5119,Damage,Open
CL01676,S091682,13161,Lost Container,Open
CL01677,S065630,6439,Lost Container,Open
CL01678,S019499,9320,Late Delivery,Closed
CL01679,S046568,2424,Late Delivery,Closed
CL01680,S015279,12644,Late Delivery,Closed
CL01681,S001893,12599,Lost Container,Under Review
CL01682,S026207,2433,Lost Container,Open
CL01683,S059393,7697,Late Delivery,Under Review
CL01684,S062044,10503,Lost Container,Closed
CL01685,S082945,7137,Customs Issue,Closed
CL01686,S055311,9151,Customs Issue,Closed
CL01687,S019192,8866,Lost Container,Under Review
CL01688,S066322,14604,Late Delivery,Under Review
CL01689,S064650,1350,Customs Issue,Under Review
CL01690,S021827,4339,Late Delivery,Closed
CL01691,S010161,2801,Damage,Under Review
CL01692,S013975,4305,Lost Container,Open
CL01693,S048788,506,Late Delivery,Under Review
CL01694,S096121,617,Late Delivery,Under Review
CL01695,S077558,8640,Late Delivery,Closed
CL01696,S011265,5412,Damage,Under Review
CL01697,S011233,8940,Late Delivery,Open
CL01698,S026455,13867,Damage,Open
CL01699,S003782,7322,Late Delivery,Closed
CL01700,S053990,3450,Customs Issue,Under Review
CL01701,S001737,10583,Lost Container,Closed
CL01702,S051699,1291,Late Delivery,Open
CL01703,S059605,5049,Lost Container,Under Review
CL01704,S057475,11461,Customs Issue,Open
CL01705,S018726,4843,Customs Issue,Closed
CL01706,S029394,9784,Lost Container,Under Review
CL01707,S089628,11700,Customs Issue,Closed
CL01708,S028755,6294,Late Delivery,Open
CL01709,S037200,3622,Lost Container,Open
CL01710,S046116,14029,Late Delivery,Open
CL01711,S045891,7538,Lost Container,Under Review
CL01712,S040038,2622,Customs Issue,Open
CL01713,S061600,4541,Customs Issue,Open
CL01714,S058942,6359,Lost Container,Closed
CL01715,S089183,14350,Damage,Under Review
CL01716,S084686,2511,Customs Issue,Under Review
CL01717,S022570,7477,Late Delivery,Closed
CL01718,S013166,13508,Customs Issue,Open
CL01719,S082075,7265,Late Delivery,Open
CL01720,S016485,2960,Customs Issue,Open
CL01721,S025346,3676,Customs Issue,Closed
CL01722,S040177,6588,Customs Issue,Closed
CL01723,S076155,10489,Damage,Closed
CL01724,S077745,3953,Late Delivery,Open
CL01725,S066537,12182,Customs Issue,Under Review
CL01726,S025861,7070,Customs Issue,Under Review
CL01727,S021297,2777,Customs Issue,Under Review
CL01728,S046326,11233,Damage,Open
CL01729,S004684,4957,Late Delivery,Closed
CL01730,S041475,1857,Damage,Closed
CL01731,S072567,13730,Late Delivery,Closed
CL01732,S076028,14887,Lost Container,Closed
CL01733,S007396,10484,Customs Issue,Open
CL01734,S066656,10786,Lost Container,Open
CL01735,S000603,10768,Late Delivery,Open
CL01736,S077429,11745,Late Delivery,Closed
CL01737,S074804,10692,Customs Issue,Open
CL01738,S016333,6074,Customs Issue,Open
CL01739,S096516,6570,Damage,Closed
CL01740,S026951,13769,Late Delivery,Under Review
CL01741,S001888,13846,Customs Issue,Open
CL01742,S083338,4300,Customs Issue,Under Review
CL01743,S009188,10665,Lost Container,Open
CL01744,S011699,3387,Late Delivery,Closed
CL01745,S079352,10802,Lost Container,Closed
CL01746,S036791,9202,Lost Container,Closed
CL01747,S072701,14848,Customs Issue,Closed
CL01748,S018381,7316,Lost Container,Under Review
CL01749,S004240,1475,Damage,Closed
CL01750,S072754,7744,Late Delivery,Under Review
CL01751,S028052,3008,Customs Issue,Under Review
CL01752,S055275,7646,Lost Container,Closed
CL01753,S024445,6069,Late Delivery,Closed
CL01754,S068040,13214,Customs Issue,Closed
CL01755,S056611,1885,Damage,Open
CL01756,S079418,10740,Late Delivery,Open
CL01757,S068331,10013,Lost Container,Closed
CL01758,S081705,1299,Lost Container,Open
CL01759,S092680,5014,Damage,Open
CL01760,S055870,3332,Damage,Under Review
CL01761,S004979,2494,Late Delivery,Open
CL01762,S032290,12680,Damage,Under Review
CL01763,S051581,7131,Lost Container,Under Review
CL01764,S079366,13129,Customs Issue,Closed
CL01765,S052003,11308,Lost Container,Open
CL01766,S001262,7158,Late Delivery,Open
CL01767,S041241,2187,Lost Container,Open
CL01768,S091270,6573,Customs Issue,Open
CL01769,S073263,14879,Late Delivery,Open
CL01770,S065300,1306,Customs Issue,Closed
CL01771,S012797,8483,Lost Container,Closed
CL01772,S016995,6527,Damage,Under Review
CL01773,S064176,2728,Late Delivery,Under Review
CL01774,S099999,4602,Late Delivery,Under Review
CL01775,S012444,9844,Customs Issue,Closed
CL01776,S083446,8007,Damage,Under Review
CL01777,S029426,12662,Late Delivery,Closed
CL01778,S007042,8489,Damage,Open
CL01779,S071324,14437,Lost Container,Closed
CL01780,S005184,2216,Late Delivery,Open
CL01781,S052951,7729,Damage,Under Review
CL01782,S040305,5571,Damage,Open
CL01783,S062034,8501,Damage,Closed
CL01784,S057349,3592,Damage,Open
CL01785,S043247,2640,Damage,Open
CL01786,S009529,8842,Damage,Open
CL01787,S022546,8492,Damage,Closed
CL01788,S008523,2102,Late Delivery,Under Review
CL01789,S053424,13676,Late Delivery,Closed
CL01790,S025486,5476,Damage,Open
CL01791,S075437,6242,Late Delivery,Under Review
CL01792,S052499,6813,Damage,Closed
CL01793,S080736,7799,Late Delivery,Under Review
CL01794,S025252,5280,Lost Container,Under Review
CL01795,S062828,14266,Damage,Under Review
CL01796,S037092,12724,Late Delivery,Closed
CL01797,S004422,2448,Damage,Open
CL01798,S076990,2861,Damage,Under Review
CL01799,S045284,10131,Late Delivery,Under Review
CL01800,S082469,648,Lost Container,Under Review
CL01801,S024806,5065,Customs Issue,Under Review
CL01802,S044526,3942,Lost Container,Open
CL01803,S038593,8294,Customs Issue,Closed
CL01804,S015173,12947,Lost Container,Open
CL01805,S029727,5222,Damage,Open
CL01806,S094539,10208,Customs Issue,Under Review
CL01807,S088658,12018,Late Delivery,Open
CL01808,S028219,2388,Late Delivery,Closed
CL01809,S093517,12252,Lost Container,Closed
CL01810,S083800,7268,Customs Issue,Closed
CL01811,S037927,2676,Lost Container,Open
CL01812,S045226,683,Customs Issue,Under Review
CL01813,S073905,12436,Lost Container,Closed
CL01814,S090329,10022,Lost Container,Under Review
CL01815,S013899,10985,Damage,Open
CL01816,S006293,9754,Late Delivery,Open
CL01817,S065139,14123,Damage,Closed
CL01818,S001352,10508,Late Delivery,Closed
CL01819,S003175,3577,Lost Container,Under Review
CL01820,S014422,5578,Customs Issue,Under Review
CL01821,S057436,8651,Customs Issue,Closed
CL01822,S072362,1965,Lost Container,Under Review
CL01823,S064897,7781,Customs Issue,Open
CL01824,S044913,14439,Lost Container,Under Review
CL01825,S057967,8121,Customs Issue,Open
CL01826,S031765,3244,Lost Container,Open
CL01827,S076873,7766,Damage,Open
CL01828,S070160,11956,Lost Container,Closed
CL01829,S052144,9024,Customs Issue,Under Review
CL01830,S016315,1916,Late Delivery,Open
CL01831,S052754,913,Late Delivery,Open
CL01832,S030460,9219,Late Delivery,Open
CL01833,S063453,1173,Lost Container,Open
CL01834,S086713,2411,Late Delivery,Under Review
CL01835,S091443,13417,Lost Container,Closed
CL01836,S071358,12190,Damage,Open
CL01837,S093250,4411,Customs Issue,Open
CL01838,S042651,12947,Late Delivery,Under Review
CL01839,S056213,3760,Damage,Closed
CL01840,S059091,4894,Late Delivery,Under Review
CL01841,S032582,3309,Damage,Closed
CL01842,S083401,930,Damage,Open
CL01843,S062909,13694,Damage,Closed
CL01844,S080286,11085,Late Delivery,Open
CL01845,S073583,14857,Lost Container,Closed
CL01846,S081573,11827,Damage,Under Review
CL01847,S096255,3405,Late Delivery,Open
CL01848,S066382,5460,Customs Issue,Under Review
CL01849,S058104,6135,Damage,Under Review
CL01850,S089737,6257,Damage,Closed
CL01851,S081491,9524,Lost Container,Open
CL01852,S038279,9694,Lost Container,Closed
CL01853,S058123,5536,Late Delivery,Open
CL01854,S078345,5898,Late Delivery,Open
CL01855,S087677,6886,Customs Issue,Closed
CL01856,S057245,4351,Customs Issue,Under Review
CL01857,S065687,11820,Lost Container,Under Review
CL01858,S009248,4818,Damage,Under Review
CL01859,S078719,13392,Late Delivery,Open
CL01860,S029322,1910,Customs Issue,Under Review
CL01861,S030318,5158,Damage,Closed
CL01862,S018175,3071,Damage,Under Review
CL01863,S044185,5614,Lost Container,Closed
CL01864,S035243,14465,Damage,Open
CL01865,S009499,1623,Customs Issue,Open
CL01866,S075744,1235,Lost Container,Under Review
CL01867,S029532,11036,Lost Container,Under Review
CL01868,S080244,4752,Damage,Open
CL01869,S086565,11155,Late Delivery,Under Review
CL01870,S073405,8991,Damage,Open
CL01871,S030211,8260,Customs Issue,Closed
CL01872,S053339,13459,Customs Issue,Closed
CL01873,S098499,4117,Damage,Open
CL01874,S070390,6128,Damage,Open
